iter	Passed	Remaining
142	843	5056
143	851	5060
144	858	5060
145	866	5065
146	873	5066
147	881	5076
148	887	5068
149	895	5075
150	901	5065
151	909	5073
152	916	5073
153	924	5076
154	932	5082
155	940	5087
156	943	5063
157	944	5035
158	946	5006
159	948	4978
160	949	4950
161	951	4922
162	953	4895
163	955	4868
164	956	4842
165	958	4816
166	960	4791
167	962	4765
168	963	4740
169	965	4714
170	967	4688
171	968	4664
172	970	4641
173	1032	4900
174	1039	4898
175	1045	4894
176	1067	4964
177	1073	4957
178	1078	4947
179	1083	4935
180	1089	4930
181	1096	4926
182	1102	4922
183	1108	4915
184	1115	4914
185	1123	4917
186	1131	4917
187	1140	4924
188	1148	4928
189	1157	4933
190	1165	4934
191	1172	4935
192	1181	4938
193	1188	4936
194	1194	4931
195	1201	4930
196	1209	4928
197	1215	4923
198	1221	4917
199	1229	4917
200	1237	4921
201	1244	4917
202	1252	4916
203	1259	4915
204	1268	4918
205	1277	4922
206	1284	4922
207	1294	4927
208	1301	4924
209	1310	4928
210	1319	4932
211	1327	4934
212	1332	4922
213	1339	4921
214	1348	4921
215	1355	4918
216	1362	4916
217	1369	4911
218	1374	4902
219	1383	4904
220	1391	4905
221	1398	4902
222	1403	4890
223	1409	4881
224	1413	4868
225	1418	4858
226	1425	4854
227	1430	4845
228	1436	4835
229	1441	4827
230	1448	4821
231	1456	4820
232	1464	4822
233	1471	4816
234	1477	4811
235	1485	4809
236	1489	4794
237	1495	4787
238	1503	4786
239	1510	4783
240	1515	4774
241	1519	4758
242	1524	4747
243	1531	4744
244	1536	4735
245	1543	4730
246	1548	4720
247	1555	4716
248	1562	4712
249	1567	4702
250	1574	4699
251	1581	4693
252	1585	4681
253	1593	4679
254	1597	4667
255	1604	4662
256	1612	4660
257	1618	4653
258	1621	4638
259	1623	4621
260	1625	4603
261	1627	4584
262	1629	4565
263	1631	4547
264	1632	4528
265	1634	4510
266	1636	4492
267	1638	4474
268	1639	4455
269	1641	4437
270	1643	4420
271	1644	4402
272	1647	4386
273	1649	4369
274	1656	4366
275	1662	4360
276	1668	4356
277	1674	4350
278	1679	4340
279	1685	4335
280	1692	4331
281	1701	4332
282	1708	4328
283	1715	4325
284	1723	4323
285	1731	4322
286	1740	4324
287	1748	4322
288	1756	4320
289	1763	4317
290	1770	4314
291	1777	4310
292	1785	4307
293	1791	4302
294	1798	4297
295	1804	4292
296	1809	4284
297	1816	4277
298	1823	4274
299	1830	4272
300	1839	4270
301	1846	4268
302	1851	4259
303	1855	4248
304	1859	4236
305	1863	4225
306	1868	4216
307	1873	4208
308	1878	4201
309	1884	4194
310	1892	4193
311	1897	4185
312	1903	4178
313	1910	4174
314	1914	4164
315	1918	4152
316	1922	4143
317	1927	4132
318	1930	4122
319	1935	4112
320	1940	4103
321	1945	4095
322	1948	4084
323	1952	4074
324	1958	4067
325	1962	4057
326	1965	4046
327	1970	4037
328	1975	4028
329	1979	4019
330	1984	4011
331	1987	3999
332	1992	3989
333	1995	3978
334	1999	3969
335	2005	3964
336	2009	3954
337	2013	3943
338	2016	3932
339	2020	3921
340	2025	3914
341	2029	3904
342	2033	3894
343	2037	3885
344	2041	3876
345	2046	3867
346	2051	3859
347	2055	3850
348	2059	3842
349	2063	3831
350	2066	3820
351	2071	3813
352	2074	3803
353	2078	3792
354	2083	3785
355	2089	3779
356	2093	3770
357	2096	3760
358	2100	3749
359	2107	3746
360	2111	3737
361	2115	3727
362	2118	3717
363	2121	3707
364	2124	3696
365	2128	3687
366	2133	3680
367	2138	3673
368	2142	3663
369	2146	3655
370	2151	3647
371	2156	3640
372	2160	3631
373	2165	3624
374	2168	3614
375	2173	3606
376	2178	3599
377	2182	3590
378	2187	3584
379	2191	3574
380	2195	3567
381	2199	3558
382	2202	3548
383	2208	3542
384	2212	3534
385	2215	3524
386	2221	3518
387	2225	3509
388	2229	3501
389	2232	3492
390	2239	3488
391	2245	3482
392	2251	3477
393	2258	3472
394	2264	3468
395	2268	3459
396	2271	3450
397	2274	3440
398	2278	3431
399	2281	3422
400	2285	3413
401	2289	3406
402	2293	3397
403	2297	3389
404	2300	3380
405	2303	3370
406	2308	3363
407	2316	3361
408	2320	3353
409	2324	3344
410	2327	3334
411	2330	3325
412	2333	3317
413	2338	3309
414	2342	3302
415	2347	3295
416	2350	3286
417	2354	3278
418	2358	3269
419	2360	3260
